date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:53	49/49	---M--	200	added ('OK')	text/plain	etag:%2256a706b2-31%22	https://www.szynalski.com/robots.txt		(from )
19:02:54	13512/13512	---MCZ	200	added ('OK')	text/html	etag:W/%225fc7dd70-34c8%22	https://www.szynalski.com/tone-generator/	E:/https___www.szynalski.com_tone-generator_/www.szynalski.com/tone-generator/index.html	(from )
19:02:55	35212/35212	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.11.4/themes/smoothness/jquery-ui.css	E:/https___www.szynalski.com_tone-generator_/ajax.googleapis.com/ajax/libs/jqueryui/1.11.4/themes/smoothness/jquery-ui.css	(from https://www.szynalski.com/tone-generator/)
19:03:03	97362/97362	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.12.0/jquery.min.js	E:/https___www.szynalski.com_tone-generator_/ajax.googleapis.com/ajax/libs/jquery/1.12.0/jquery.min.js	(from https://www.szynalski.com/tone-generator/)
19:03:04	14466/14466	---MCZ	200	added ('OK')	text/css	etag:W/%225fd4db80-3882%22	https://www.szynalski.com/tone-generator/tone-generator.mini.css?10	E:/https___www.szynalski.com_tone-generator_/www.szynalski.com/tone-generator/tone-generator.minid3d9.css	(from https://www.szynalski.com/tone-generator/)
19:03:09	240427/240427	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.11.4/jquery-ui.min.js	E:/https___www.szynalski.com_tone-generator_/ajax.googleapis.com/ajax/libs/jqueryui/1.11.4/jquery-ui.min.js	(from https://www.szynalski.com/tone-generator/)
19:03:10	1847/1847	---M--	200	added ('OK')	image/png	etag:%2255d903b7-737%22	https://www.szynalski.com/tone-generator/tone-generator-apple.png	E:/https___www.szynalski.com_tone-generator_/www.szynalski.com/tone-generator/tone-generator-apple.png	(from https://www.szynalski.com/tone-generator/)
19:03:12	35113/35113	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f707663-8929%22	https://www.szynalski.com/tone-generator/frequency-generator.mini.js?12	E:/https___www.szynalski.com_tone-generator_/www.szynalski.com/tone-generator/frequency-generator.minic20a.js	(from https://www.szynalski.com/tone-generator/)
19:03:18	137903/137903	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jul%202021%2013:33:11%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	E:/https___www.szynalski.com_tone-generator_/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.szynalski.com/tone-generator/)
19:03:19	49377/49377	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Jun%202021%2017:36:57%20GMT	https://www.google-analytics.com/analytics.js	E:/https___www.szynalski.com_tone-generator_/www.google-analytics.com/analytics.js	(from https://www.szynalski.com/tone-generator/)
